id;ticker;name;index_id;exchange_id;fb_page;tw_name;tw_search_name;;other_tw_name;tw_name has other lang than AJ;fb page other lang
349;PKI;PerkinElmer;1;;PerkinElmer;PerkinElmer;PerkinElmer;;PerkinElmerNews;;
350;PRGO;Perrigo;1;;;;Perrigo Company;;;;
351;PFE;Pfizer Inc.;1;;Pfizer;pfizer;Pfizer;;pfizer_news;;
352;PCG;PG&E Corp.;1;;;PGE4Me;PG&E;;;;
353;PM;Philip Morris International;1;;;InsidePMI;Philip Morris International;;;;
354;PSX;Phillips 66;1;;Phillips66Gas;Phillips66Co;Phillips 66;;;;
355;PNW;Pinnacle West Capital;1;;;;Pinnacle West Capital;;;;
356;PXD;Pioneer Natural Resources;1;;;;Pioneer Natural Resources;;;;
357;PBI;Pitney-Bowes;1;;PitneyBowes;PitneyBowes;Pitney Bowes;;;;
358;;Plum Creek Timber Co.;1;;;;Plum Creek Timber;;;;
359;PNC;PNC Financial Services;1;;;PNCNews;PNC Financial Services;;;;
360;RL;Polo Ralph Lauren Corp.;1;;RalphLauren;RalphLauren;Ralph Lauren;;;;
361;PPG;PPG Industries;1;;ppgindustries;PPGIndustries;PPG Industries;;;;
362;PPL;PPL Corp.;1;;;PPLCorp;PPL Corp.;;;;
363;PX;Praxair Inc.;1;;;PraxairInc;Praxair;;;;
364;;Precision Castparts;1;;;;Precision Castparts;;;;
365;PCLN;Priceline.com Inc;1;;priceline;priceline;Priceline Group;;;;
366;PFG;Principal Financial Group;1;;PrincipalFinancial;theprincipal;Principal Financial;;;;
367;PG;Procter & Gamble;1;;proctergamble;ProcterGamble;Procter & Gamble;;;;
368;PGR;Progressive Corp.;1;;progressive;Corp_PTS;Progressive Corp.;;;;
369;PLD;Prologis;1;;;Prologis;Prologis;;;;
370;PRU;Prudential Financial;1;;PrudentialBYC;prudential;Prudential Financial;;;;
371;PEG;Public Serv. Enterprise Inc.;1;;PSEG;PSEGNews;Public Service Enterprise Group;;;;
372;PSA;Public Storage;1;;PublicStorage;PublicStorage;Public Storage;;;;
373;PHM;Pulte Homes Inc.;1;;PulteGroup;PulteHomes;PulteGroup;;;;
374;PVH;PVH Corp.;1;;;;PVH Corp.;;;;
375;QRVO;Qorvo;1;;;QorvoInc;Qorvo;;;;
376;QCOM;QUALCOMM Inc.;1;;Qualcomm;Qualcomm;Qualcomm;;;;
377;PWR;Quanta Services Inc.;1;;;Quanta_Services;Quanta Services;;;;
378;DGX;Quest Diagnostics;1;;questdiagnostics;QuestDX;Quest Diagnostics;;;;
379;RRC;Range Resources Corp.;1;;;Range_Resources;Range Resources;;;;
380;RTN;Raytheon Co.;1;;Raytheon;Raytheon;Raytheon;;;;
381;O;Realty Income Corporation;1;;;RealtyIncome;Realty Income;;;;
382;RHT;Red Hat Inc.;1;;RedHatSocietyPage;RedHatNews;Red Hat;;;;
383;REGN;Regeneron;1;;;regeneron;Regeneron;;;;
384;RF;Regions Financial Corp.;1;;RegionsBank;askregions;Regions Financial;;;;
385;RSG;Republic Services Inc;1;;RepublicServices;RepublicService;Republic Services;;;;
386;RAI;Reynolds American Inc.;1;;;RAI_News;Reynolds American;;;;
387;RHI;Robert Half International;1;;;roberthalf;Robert Half International;;;;
388;ROK;Rockwell Automation Inc.;1;;ROKAutomation;ROKAutomation;Rockwell Automation;;;;
389;COL;Rockwell Collins;1;;rockwellcollins;RockwellCollins;Rockwell Collins;;;;
390;ROP;Roper Industries;1;;;;Roper Technologies;;;;
391;ROST;Ross Stores;1;;RossDressforLess;Ross_Stores;Ross Stores;;;;
392;RCL;Royal Caribbean Cruises Ltd;1;;royalcaribbean;royalcaribbean;Royal Caribbean;;;;
393;R;Ryder System;1;;RyderSystemInc;;Ryder System;;;;
394;CRM;Salesforce.com;1;;salesforce;salesforce;Salesforce;;;;
395;SNDK;SanDisk Corporation;1;;sandisk;SanDisk;SanDisk;;;;
396;SCG;SCANA Corp;1;;;;SCANA;;;;
397;SNI;Scripps Networks Interactive Inc.;1;;;ScrippsNet;Scripps Networks;;;;
398;STX;Seagate Technology;1;;seagate;Seagate;Seagate Technology;;;;
399;SEE;Sealed Air Corp.(New);1;;287944878104;Sealed_Air;Sealed Air;;;;
400;SRE;Sempra Energy;1;;;SempraEnergy;Sempra Energy;;;;
401;SHW;Sherwin-Williams;1;;SherwinWilliamsforYourHome;SherwinWilliams;Sherwin-Williams;;;;
402;SLB;Schlumberger Ltd.;1;;;;Schlumberger;;;;
403;SIAL;Sigma-Aldrich;1;;;SigmaAldrich;Sigma-Aldrich;;;;
404;SPG;Simon Property Group Inc;1;;;SimonPropertyGp;Simon Property Group;;;;
405;SWKS;Skyworks Solutions;1;;;skyworksinc;Skyworks Solutions;;;;
406;SLG;SL Green Realty;1;;;;SL Green Realty;;;;
407;SJM;Smucker (J.M.);1;;smuckers;smuckers;Smucker;;;;
408;SNA;Snap-On Inc.;1;;SnaponTools;Snapon_Tools;Snap-On;;;;
409;SO;Southern Co.;1;;;SouthernCompany;Southern co;;;;
410;LUV;Southwest Airlines;1;;Southwest;SouthwestAir;Southwest Airlines;;;;
411;SWN;Southwestern Energy;1;;;SWN_R2;Southwestern Energy;;;;
412;SE;Spectra Energy Corp.;1;;SpectraEnergy;SpectraEnergy;Spectra Energy;;;;
413;STJ;St Jude Medical;1;;;SJM_Media;St Jude Medical;;stjudemedical;;
414;SWK;Stanley Black & Decker;1;;;StanleyBlkDeckr;Stanley Black & Decker;;;;
415;SPLS;Staples Inc.;1;;staples;Staples;Staples inc;;;;
416;SBUX;Starbucks Corp.;1;;Starbucks;Starbucksnews;Starbucks;;Starbucks;;
